Game,Player,ShotsTaken,HitsTaken,AccuracyRate
1,Player 1,28,17,60.71%
1,Player 2,17,7,41.18%
2,Player 1,27,17,62.96%
2,Player 2,14,4,28.57%
3,Player 1,26,17,65.38%
3,Player 2,11,4,36.36%
4,Player 1,24,17,70.83%
4,Player 2,12,6,50.00%
5,Player 1,45,17,37.78%
5,Player 2,36,8,22.22%
6,Player 1,33,17,51.52%
6,Player 2,27,10,37.04%
7,Player 1,43,17,39.53%
7,Player 2,44,15,34.09%
8,Player 1,25,17,68.00%
8,Player 2,6,1,16.67%
9,Player 1,42,17,40.48%
9,Player 2,38,14,36.84%
10,Player 1,38,3,7.89%
10,Player 2,53,17,32.08%
11,Player 1,23,17,73.91%
11,Player 2,4,1,25.00%
12,Player 1,28,17,60.71%
12,Player 2,10,1,10.00%
13,Player 1,26,17,65.38%
13,Player 2,7,0,0.00%
14,Player 1,23,17,73.91%
14,Player 2,3,0,0.00%
15,Player 1,25,17,68.00%
15,Player 2,10,3,30.00%
16,Player 1,24,17,70.83%
16,Player 2,21,11,52.38%
17,Player 1,23,17,73.91%
17,Player 2,5,0,0.00%
18,Player 1,32,17,53.13%
18,Player 2,16,2,12.50%
19,Player 1,52,6,11.54%
19,Player 2,63,17,26.98%
20,Player 1,26,17,65.38%
20,Player 2,10,5,50.00%
21,Player 1,25,17,68.00%
21,Player 2,18,11,61.11%
22,Player 1,29,17,58.62%
22,Player 2,10,0,0.00%
23,Player 1,26,17,65.38%
23,Player 2,14,6,42.86%
24,Player 1,24,17,70.83%
24,Player 2,4,0,0.00%
25,Player 1,31,17,54.84%
25,Player 2,23,10,43.48%
26,Player 1,27,17,62.96%
26,Player 2,18,9,50.00%
27,Player 1,42,17,40.48%
27,Player 2,38,14,36.84%
28,Player 1,23,17,73.91%
28,Player 2,8,3,37.50%
29,Player 1,30,17,56.67%
29,Player 2,24,10,41.67%
30,Player 1,25,17,68.00%
30,Player 2,13,5,38.46%
31,Player 1,25,17,68.00%
31,Player 2,6,0,0.00%
32,Player 1,25,17,68.00%
32,Player 2,5,0,0.00%
33,Player 1,21,17,80.95%
33,Player 2,9,5,55.56%
34,Player 1,24,17,70.83%
34,Player 2,3,0,0.00%
35,Player 1,23,4,17.39%
35,Player 2,38,17,44.74%
36,Player 1,20,17,85.00%
36,Player 2,1,0,0.00%
37,Player 1,21,17,80.95%
37,Player 2,3,0,0.00%
38,Player 1,28,17,60.71%
38,Player 2,16,7,43.75%
39,Player 1,25,17,68.00%
39,Player 2,7,0,0.00%
40,Player 1,22,17,77.27%
40,Player 2,2,0,0.00%
41,Player 1,27,17,62.96%
41,Player 2,24,13,54.17%
42,Player 1,23,17,73.91%
42,Player 2,4,0,0.00%
43,Player 1,30,17,56.67%
43,Player 2,16,4,25.00%
44,Player 1,23,17,73.91%
44,Player 2,6,3,50.00%
45,Player 1,28,17,60.71%
45,Player 2,23,12,52.17%
46,Player 1,26,17,65.38%
