Game,Player,MaxConsecutiveHits
1,Player 1,5
1,Player 2,1
2,Player 1,5
2,Player 2,2
3,Player 1,4
3,Player 2,0
4,Player 1,7
4,Player 2,0
5,Player 1,4
5,Player 2,6
6,Player 1,5
6,Player 2,0
7,Player 1,8
7,Player 2,3
8,Player 1,5
8,Player 2,0
9,Player 1,6
9,Player 2,4
10,Player 1,5
10,Player 2,3
11,Player 1,6
11,Player 2,1
12,Player 1,5
12,Player 2,3
13,Player 1,8
13,Player 2,4
14,Player 1,4
14,Player 2,4
15,Player 1,3
15,Player 2,2
16,Player 1,6
16,Player 2,0
17,Player 1,11
17,Player 2,1
18,Player 1,1
18,Player 2,5
19,Player 1,4
19,Player 2,0
20,Player 1,6
20,Player 2,4
21,Player 1,7
21,Player 2,0
22,Player 1,8
22,Player 2,3
23,Player 1,5
23,Player 2,0
24,Player 1,5
24,Player 2,5
25,Player 1,6
25,Player 2,5
26,Player 1,8
26,Player 2,0
27,Player 1,5
27,Player 2,1
28,Player 1,4
28,Player 2,3
29,Player 1,5
29,Player 2,0
30,Player 1,5
30,Player 2,4
31,Player 1,3
31,Player 2,1
32,Player 1,5
32,Player 2,5
33,Player 1,7
33,Player 2,5
34,Player 1,6
34,Player 2,1
35,Player 1,5
35,Player 2,3
36,Player 1,3
36,Player 2,0
37,Player 1,4
37,Player 2,2
38,Player 1,5
38,Player 2,2
39,Player 1,5
39,Player 2,3
40,Player 1,5
40,Player 2,0
41,Player 1,6
41,Player 2,4
42,Player 1,5
42,Player 2,1
43,Player 1,8
43,Player 2,6
44,Player 1,6
44,Player 2,0
45,Player 1,4
45,Player 2,0
46,Player 1,4
46,Player 2,2
47,Player 1,6
47,Player 2,3
48,Player 1,8
48,Player 2,3
49,Player 1,4
49,Player 2,5
50,Player 1,4
50,Player 2,4
51,Player 1,5
51,Player 2,4
52,Player 1,1
52,Player 2,7
53,Player 1,5
53,Player 2,3
54,Player 1,8
54,Player 2,3
55,Player 1,4
55,Player 2,3
56,Player 1,10
56,Player 2,1
57,Player 1,5
57,Player 2,4
58,Player 1,5
58,Player 2,4
59,Player 1,5
59,Player 2,4
60,Player 1,5
60,Player 2,4
61,Player 1,7
61,Player 2,5
62,Player 1,6
62,Player 2,3
63,Player 1,7
63,Player 2,2
64,Player 1,6
64,Player 2,0
65,Player 1,4
65,Player 2,0
66,Player 1,8
66,Player 2,0
67,Player 1,3
67,Player 2,3
68,Player 1,8
68,Player 2,4
69,Player 1,3
69,Player 2,2
70,Player 1,9
70,Player 2,0
71,Player 1,6
71,Player 2,0
72,Player 1,4
72,Player 2,3
73,Player 1,9
73,Player 2,0
74,Player 1,4
74,Player 2,0
75,Player 1,7
75,Player 2,2
76,Player 1,4
76,Player 2,4
77,Player 1,5
77,Player 2,3
78,Player 1,8
78,Player 2,2
79,Player 1,7
79,Player 2,0
80,Player 1,7
80,Player 2,0
81,Player 1,5
81,Player 2,4
82,Player 1,3
82,Player 2,4
83,Player 1,3
83,Player 2,1
84,Player 1,6
84,Player 2,0
85,Player 1,7
85,Player 2,3
86,Player 1,11
86,Player 2,0
87,Player 1,5
87,Player 2,3
88,Player 1,3
88,Player 2,1
89,Player 1,10
89,Player 2,3
90,Player 1,7
90,Player 2,0
91,Player 1,7
91,Player 2,0
92,Player 1,9
92,Player 2,3
93,Player 1,5
93,Player 2,5
94,Player 1,8
94,Player 2,0
95,Player 1,5
95,Player 2,3
96,Player 1,6
96,Player 2,4
97,Player 1,6
97,Player 2,3
98,Player 1,6
98,Player 2,2
99,Player 1,7
99,Player 2,4
100,Player 1,7
100,Player 2,0
101,Player 1,7
101,Player 2,0
102,Player 1,3
102,Player 2,2
103,Player 1,5
103,Player 2,1
104,Player 1,9
104,Player 2,0
105,Player 1,4
105,Player 2,3
106,Player 1,4
106,Player 2,1
107,Player 1,6
107,Player 2,2
108,Player 1,5
108,Player 2,3
109,Player 1,9
109,Player 2,3
110,Player 1,5
110,Player 2,0
111,Player 1,5
111,Player 2,4
112,Player 1,5
112,Player 2,5
113,Player 1,5
113,Player 2,0
114,Player 1,6
114,Player 2,5
115,Player 1,7
115,Player 2,4
116,Player 1,6
116,Player 2,3
117,Player 1,7
117,Player 2,3
118,Player 1,9
118,Player 2,0
119,Player 1,9
119,Player 2,0
120,Player 1,7
120,Player 2,5
121,Player 1,6
121,Player 2,0
122,Player 1,5
122,Player 2,2
123,Player 1,5
123,Player 2,5
124,Player 1,7
124,Player 2,4
125,Player 1,6
125,Player 2,0
126,Player 1,12
126,Player 2,0
127,Player 1,5
127,Player 2,5
128,Player 1,6
128,Player 2,0
129,Player 1,5
129,Player 2,4
130,Player 1,5
130,Player 2,2
131,Player 1,9
131,Player 2,4
132,Player 1,5
132,Player 2,0
133,Player 1,7
133,Player 2,3
134,Player 1,5
134,Player 2,0
135,Player 1,7
135,Player 2,0
136,Player 1,5
136,Player 2,2
137,Player 1,7
137,Player 2,0
138,Player 1,4
138,Player 2,0
139,Player 1,7
139,Player 2,1
140,Player 1,4
140,Player 2,4
141,Player 1,5
141,Player 2,2
142,Player 1,7
142,Player 2,5
143,Player 1,6
143,Player 2,1
144,Player 1,7
144,Player 2,0
145,Player 1,7
145,Player 2,3
146,Player 1,9
146,Player 2,0
147,Player 1,6
147,Player 2,0
148,Player 1,3
148,Player 2,2
149,Player 1,7
149,Player 2,0
150,Player 1,5
150,Player 2,4
151,Player 1,6
151,Player 2,3
152,Player 1,8
152,Player 2,0
153,Player 1,7
153,Player 2,4
154,Player 1,10
154,Player 2,1
155,Player 1,10
155,Player 2,2
156,Player 1,5
156,Player 2,0
157,Player 1,8
157,Player 2,3
158,Player 1,5
158,Player 2,2
159,Player 1,4
159,Player 2,3
160,Player 1,5
160,Player 2,4
161,Player 1,6
161,Player 2,4
162,Player 1,7
162,Player 2,2
163,Player 1,5
163,Player 2,0
164,Player 1,4
164,Player 2,5
165,Player 1,4
165,Player 2,3
166,Player 1,6
166,Player 2,0
167,Player 1,5
167,Player 2,0
168,Player 1,4
168,Player 2,3
169,Player 1,6
169,Player 2,0
170,Player 1,5
170,Player 2,3
171,Player 1,7
171,Player 2,0
172,Player 1,7
172,Player 2,0
173,Player 1,11
173,Player 2,6
174,Player 1,1
174,Player 2,5
175,Player 1,3
175,Player 2,5
176,Player 1,3
176,Player 2,4
177,Player 1,3
177,Player 2,4
178,Player 1,12
178,Player 2,2
179,Player 1,8
179,Player 2,0
180,Player 1,4
180,Player 2,4
181,Player 1,7
181,Player 2,2
182,Player 1,3
182,Player 2,3
183,Player 1,4
183,Player 2,5
184,Player 1,4
184,Player 2,1
185,Player 1,4
185,Player 2,0
186,Player 1,5
186,Player 2,0
187,Player 1,5
187,Player 2,1
188,Player 1,6
188,Player 2,2
189,Player 1,7
189,Player 2,6
190,Player 1,6
190,Player 2,5
191,Player 1,6
191,Player 2,2
192,Player 1,7
192,Player 2,1
193,Player 1,5
193,Player 2,2
194,Player 1,9
194,Player 2,0
195,Player 1,7
195,Player 2,2
196,Player 1,4
196,Player 2,3
197,Player 1,6
197,Player 2,2
198,Player 1,4
198,Player 2,4
199,Player 1,7
199,Player 2,3
200,Player 1,5
200,Player 2,0
201,Player 1,7
201,Player 2,3
202,Player 1,2
202,Player 2,3
203,Player 1,7
203,Player 2,2
204,Player 1,7
204,Player 2,4
205,Player 1,10
205,Player 2,1
206,Player 1,3
206,Player 2,3
207,Player 1,5
207,Player 2,3
208,Player 1,8
208,Player 2,0
209,Player 1,6
209,Player 2,0
210,Player 1,4
210,Player 2,2
211,Player 1,5
211,Player 2,4
212,Player 1,6
212,Player 2,2
213,Player 1,4
213,Player 2,3
214,Player 1,6
214,Player 2,9
215,Player 1,5
215,Player 2,4
216,Player 1,5
216,Player 2,1
217,Player 1,6
217,Player 2,1
218,Player 1,6
218,Player 2,0
219,Player 1,7
219,Player 2,3
220,Player 1,5
220,Player 2,3
221,Player 1,5
221,Player 2,3
222,Player 1,5
222,Player 2,0
223,Player 1,7
223,Player 2,0
224,Player 1,4
224,Player 2,3
225,Player 1,7
225,Player 2,4
226,Player 1,5
226,Player 2,1
227,Player 1,5
227,Player 2,2
228,Player 1,1
228,Player 2,5
229,Player 1,3
229,Player 2,2
230,Player 1,8
230,Player 2,3
231,Player 1,7
231,Player 2,2
232,Player 1,9
232,Player 2,3
233,Player 1,5
233,Player 2,3
234,Player 1,10
234,Player 2,4
235,Player 1,3
235,Player 2,0
236,Player 1,7
236,Player 2,3
237,Player 1,4
237,Player 2,0
238,Player 1,6
238,Player 2,3
239,Player 1,6
239,Player 2,0
240,Player 1,8
240,Player 2,5
241,Player 1,5
241,Player 2,2
242,Player 1,5
242,Player 2,4
243,Player 1,3
243,Player 2,0
244,Player 1,4
244,Player 2,4
245,Player 1,11
245,Player 2,3
246,Player 1,3
246,Player 2,2
247,Player 1,6
247,Player 2,2
248,Player 1,6
248,Player 2,0
249,Player 1,7
249,Player 2,2
250,Player 1,4
250,Player 2,0
251,Player 1,6
251,Player 2,5
252,Player 1,7
252,Player 2,4
253,Player 1,6
253,Player 2,4
254,Player 1,13
254,Player 2,1
255,Player 1,6
255,Player 2,3
256,Player 1,1
256,Player 2,5
257,Player 1,5
257,Player 2,0
258,Player 1,9
258,Player 2,5
259,Player 1,9
259,Player 2,2
260,Player 1,7
260,Player 2,3
261,Player 1,8
261,Player 2,2
262,Player 1,9
262,Player 2,0
263,Player 1,3
263,Player 2,3
264,Player 1,7
264,Player 2,0
265,Player 1,7
265,Player 2,6
266,Player 1,1
266,Player 2,7
267,Player 1,4
267,Player 2,4
268,Player 1,4
268,Player 2,3
269,Player 1,5
269,Player 2,2
270,Player 1,8
270,Player 2,0
271,Player 1,2
271,Player 2,3
272,Player 1,7
272,Player 2,1
273,Player 1,4
273,Player 2,3
274,Player 1,8
274,Player 2,4
275,Player 1,4
275,Player 2,2
276,Player 1,5
276,Player 2,0
277,Player 1,5
277,Player 2,2
278,Player 1,7
278,Player 2,0
279,Player 1,5
279,Player 2,3
280,Player 1,8
280,Player 2,0
281,Player 1,3
281,Player 2,0
282,Player 1,6
282,Player 2,0
283,Player 1,6
283,Player 2,1
284,Player 1,5
284,Player 2,6
285,Player 1,4
285,Player 2,3
286,Player 1,4
286,Player 2,3
287,Player 1,11
287,Player 2,2
288,Player 1,7
288,Player 2,2
289,Player 1,4
289,Player 2,0
290,Player 1,3
290,Player 2,0
291,Player 1,4
291,Player 2,7
292,Player 1,4
292,Player 2,3
293,Player 1,5
293,Player 2,1
294,Player 1,5
294,Player 2,1
295,Player 1,4
295,Player 2,4
296,Player 1,7
296,Player 2,1
297,Player 1,4
297,Player 2,3
298,Player 1,7
298,Player 2,2
299,Player 1,8
299,Player 2,4
300,Player 1,9
300,Player 2,5
301,Player 1,5
301,Player 2,3
302,Player 1,5
302,Player 2,2
303,Player 1,3
303,Player 2,0
304,Player 1,5
304,Player 2,2
305,Player 1,7
305,Player 2,0
306,Player 1,7
306,Player 2,0
307,Player 1,8
307,Player 2,3
308,Player 1,5
308,Player 2,6
309,Player 1,4
309,Player 2,4
310,Player 1,4
310,Player 2,4
311,Player 1,6
311,Player 2,5
312,Player 1,5
312,Player 2,2
313,Player 1,7
313,Player 2,3
314,Player 1,5
314,Player 2,5
315,Player 1,5
315,Player 2,1
316,Player 1,12
316,Player 2,0
317,Player 1,5
317,Player 2,5
318,Player 1,4
318,Player 2,3
319,Player 1,6
319,Player 2,0
320,Player 1,6
320,Player 2,4
321,Player 1,6
321,Player 2,0
322,Player 1,7
322,Player 2,3
323,Player 1,5
323,Player 2,4
324,Player 1,3
324,Player 2,0
325,Player 1,5
325,Player 2,0
326,Player 1,5
326,Player 2,0
327,Player 1,4
327,Player 2,6
328,Player 1,8
328,Player 2,3
329,Player 1,4
329,Player 2,0
330,Player 1,6
330,Player 2,5
331,Player 1,5
331,Player 2,0
332,Player 1,6
332,Player 2,3
333,Player 1,5
333,Player 2,3
334,Player 1,4
334,Player 2,1
335,Player 1,5
335,Player 2,5
336,Player 1,6
336,Player 2,2
337,Player 1,6
337,Player 2,0
338,Player 1,5
338,Player 2,2
339,Player 1,5
339,Player 2,3
340,Player 1,6
340,Player 2,2
341,Player 1,7
341,Player 2,3
342,Player 1,5
342,Player 2,0
343,Player 1,6
343,Player 2,4
344,Player 1,5
344,Player 2,3
345,Player 1,13
345,Player 2,3
346,Player 1,5
346,Player 2,3
347,Player 1,8
347,Player 2,7
348,Player 1,5
348,Player 2,2
349,Player 1,3
349,Player 2,0
350,Player 1,9
350,Player 2,0
351,Player 1,7
351,Player 2,4
352,Player 1,7
352,Player 2,3
353,Player 1,5
353,Player 2,1
354,Player 1,3
354,Player 2,4
355,Player 1,5
355,Player 2,0
356,Player 1,3
356,Player 2,4
357,Player 1,6
357,Player 2,3
358,Player 1,3
358,Player 2,4
359,Player 1,7
359,Player 2,1
360,Player 1,4
360,Player 2,4
361,Player 1,6
361,Player 2,2
362,Player 1,7
362,Player 2,2
363,Player 1,5
363,Player 2,2
364,Player 1,8
364,Player 2,4
365,Player 1,4
365,Player 2,2
366,Player 1,7
366,Player 2,1
367,Player 1,4
367,Player 2,2
368,Player 1,5
368,Player 2,0
369,Player 1,6
369,Player 2,0
370,Player 1,9
370,Player 2,1
371,Player 1,5
371,Player 2,0
372,Player 1,5
372,Player 2,4
373,Player 1,1
373,Player 2,4
374,Player 1,3
374,Player 2,1
375,Player 1,6
375,Player 2,1
376,Player 1,4
376,Player 2,1
377,Player 1,5
377,Player 2,5
378,Player 1,4
378,Player 2,5
379,Player 1,2
379,Player 2,4
380,Player 1,7
380,Player 2,4
381,Player 1,5
381,Player 2,4
382,Player 1,8
382,Player 2,3
383,Player 1,6
383,Player 2,0
384,Player 1,5
384,Player 2,2
385,Player 1,11
385,Player 2,3
386,Player 1,5
386,Player 2,2
387,Player 1,3
387,Player 2,2
388,Player 1,5
388,Player 2,1
389,Player 1,4
389,Player 2,4
390,Player 1,5
390,Player 2,4
391,Player 1,6
391,Player 2,4
392,Player 1,4
392,Player 2,2
393,Player 1,4
393,Player 2,2
394,Player 1,7
394,Player 2,5
395,Player 1,5
395,Player 2,2
396,Player 1,6
396,Player 2,0
397,Player 1,9
397,Player 2,3
398,Player 1,4
398,Player 2,0
399,Player 1,8
399,Player 2,2
400,Player 1,7
400,Player 2,0
401,Player 1,5
401,Player 2,5
402,Player 1,2
402,Player 2,3
403,Player 1,8
403,Player 2,1
404,Player 1,5
404,Player 2,2
405,Player 1,5
405,Player 2,1
406,Player 1,9
406,Player 2,0
407,Player 1,3
407,Player 2,3
408,Player 1,7
408,Player 2,2
409,Player 1,5
409,Player 2,3
410,Player 1,5
410,Player 2,3
411,Player 1,9
411,Player 2,1
412,Player 1,5
412,Player 2,0
413,Player 1,7
413,Player 2,5
414,Player 1,4
414,Player 2,0
415,Player 1,5
415,Player 2,2
416,Player 1,5
416,Player 2,3
417,Player 1,5
417,Player 2,4
418,Player 1,5
418,Player 2,4
419,Player 1,5
419,Player 2,0
420,Player 1,5
420,Player 2,2
421,Player 1,6
421,Player 2,4
422,Player 1,5
422,Player 2,0
423,Player 1,7
